addrcode,subdistrict_th,subdistrict_en,district_code,district_th,district_en,province_code,province_th,province_en,LAT,LONG,Population
110201,บางบ่อ,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.611,100.862,0
110202,บ้านระกาศ,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.639,100.904,0
110203,บางพลีน้อย,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.574,100.9,0
110204,บางเพรียง,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.545,100.805,0
110205,คลองด่าน,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.511,100.835,0
110206,คลองสวน,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.659,100.925,0
110207,เปร็ง,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.672,100.881,0
110208,คลองนิยมยาตรา,,1102,บางบ่อ,Bang Bo,11,สมุทรปราการ,Samut Prakarn,13.624,100.935,0
110301,บางพลีใหญ่,,1103,บางพลี,Bang Phli,11,สมุทรปราการ,Samut Prakarn,13.618,100.694,0
110302,บางแก้ว,,1103,บางพลี,Bang Phli,11,สมุทรปราการ,Samut Prakarn,13.642,100.662,0
110303,บางปลา,,1103,บางพลี,Bang Phli,11,สมุทรปราการ,Samut Prakarn,13.561,100.739,0
110304,บางโฉลง,,1103,บางพลี,Bang Phli,11,สมุทรปราการ,Samut Prakarn,13.623,100.755,0
110308,ราชาเทวะ,,1103,บางพลี,Bang Phli,11,สมุทรปราการ,Samut Prakarn,13.681,100.733,0
110309,หนองปรือ,,1103,บางพลี,Bang Phli,11,สมุทรปราการ,Samut Prakarn,13.678,100.75,0
110401,เทศบาลเมืองพระประแดง,Talat,1104,พระประแดง,Phra Pradaeng,11,สมุทรปราการ,Samut Prakarn,13.656,100.533,0
110402,ตลาด,Bang Phueng,1104,พระประแดง,Phra Pradaeng,11,สมุทรปราการ,Samut Prakarn,13.671,100.52,0
110403,บางจาก,Bang Chak,1104,พระประแดง,Phra Pradaeng,11,สมุทรปราการ,Samut Prakarn,13.616,100.536,0
110404,บางครุ,Bang Khru,1104,พระประแดง,Phra Pradaeng,11,สมุทรปราการ,Samut Prakarn,13.631,100.526,0
