"","Subdistrict_Code","Year","Week","NumberCases"
"842","103001",2014,50,6
"843","103005",2014,50,1
"844","105001",2014,50,6
"845","101401",2014,50,1
"846","101001",2014,50,2
"847","102802",2014,50,2
"848","102202",2014,50,1
"849","101802",2014,50,1
"850","103004",2014,50,2
"851","102801",2014,50,1
"852","100307",2014,50,3
"853","103101",2014,50,3
"854","101203",2014,50,2
"855","104301",2014,50,2
"856","103201",2014,50,2
"857","102901",2014,50,3
"858","103301",2014,50,1
"859","104701",2014,50,4
"860","104401",2014,50,1
"861","103701",2014,50,2
"862","104004",2014,50,4
"863","103401",2014,50,3
"864","100104",2014,50,1
"865","101902",2014,50,1
"866","103503",2014,50,3
"867","101804",2014,50,1
"868","100401",2014,50,1
"869","103703",2014,50,1
"870","103602",2014,50,1
"871","101505",2014,50,1
"872","100302",2014,50,1
"873","102208",2014,50,1
"874","104203",2014,50,1
"875","102303",2014,50,2
"876","101702",2014,50,1
"877","103302",2014,50,1
"878","102009",2014,50,1
"879","103901",2014,50,1
"880","104602",2014,50,1
"881","100702",2014,50,1
"882","100301",2014,50,1
"883","104802",2014,50,1
"884","100905",2014,50,1
"885","103704",2014,50,1
"886","101102",2014,50,1
"887","103501",2014,51,2
"888","100704",2014,51,1
"889","102107",2014,51,3
"890","102601",2014,51,1
"891","100401",2014,51,1
"892","102105",2014,51,2
"893","105001",2014,51,1
"894","100608",2014,51,1
"895","103602",2014,51,1
"896","102302",2014,51,1
"897","104501",2014,51,2
"898","104001",2014,51,1
"899","100905",2014,51,2
"900","103503",2014,51,2
"901","104003",2014,51,1
"902","103902",2014,51,1
"903","103502",2014,51,1
"904","101401",2014,51,1
"905","103504",2014,51,1
"906","102201",2014,51,1
"907","100301",2014,51,2
"908","104901",2014,51,1
"909","104004",2014,51,2
"910","103801",2014,51,1
"911","104902",2014,51,1
"912","101503",2014,51,1
"913","104504",2014,51,1
"914","100508",2014,51,1
"915","101001",2014,51,1
"916","100502",2014,51,1
"917","100305",2014,51,1
"918","102210",2014,51,1
"919","104701",2014,51,1
"920","100608",2014,1,1
"921","104701",2014,1,1
"922","102901",2014,1,2
"923","102005",2014,1,2
"924","102402",2014,1,1
"925","103801",2014,1,1
"926","100508",2014,1,3
"927","103102",2014,1,1
"928","104902",2014,1,1
"929","101503",2014,1,1
"930","100308",2014,1,1
"931","104601",2014,1,1
"932","103502",2014,1,1
"933","104201",2014,1,1
"934","103702",2014,1,1
"935","101401",2014,1,1
"936","102503",2014,1,1
"937","100203",2014,1,1
"938","100601",2014,1,1
"939","103903",2014,1,1
"940","101602",2014,1,2
"941","103401",2014,1,1
"942","102803",2014,1,1
"943","100404",2014,1,1
"944","104802",2014,1,1
"945","102303",2014,1,1
"946","104001",2014,2,1
"947","100203",2014,2,2
"948","102302",2014,2,3
"949","102601",2014,2,4
"950","102503",2014,2,1
"951","102303",2014,2,5
"952","104603",2014,2,1
"953","104102",2014,2,1
"954","103201",2014,2,3
"955","101203",2014,2,2
"956","102801",2014,2,4
"957","105001",2014,2,1
"958","101001",2014,2,1
"959","100305",2014,2,3
"960","104003",2014,2,1
"961","104002",2014,2,1
"962","104401",2014,2,1
"963","101701",2014,2,2
"964","102504",2014,2,2
"965","104201",2014,2,1
"966","103301",2014,2,5
"967","104004",2014,2,2
"968","101803",2014,2,3
"969","104902",2014,2,2
"970","102007",2014,2,2
"971","103501",2014,2,2
"972","101602",2014,2,3
"973","101401",2014,2,3
"974","103903",2014,2,3
"975","100905",2014,2,1
"976","100608",2014,2,1
"977","104901",2014,2,3
"978","103801",2014,2,3
"979","102701",2014,2,2
"980","100201",2014,2,1
"981","101506",2014,2,1
"982","101801",2014,2,1
"983","103504",2014,2,2
"984","103701",2014,2,1
"985","102901",2014,2,2
"986","101704",2014,2,1
"987","102401",2014,2,2
"988","103902",2014,2,1
"989","103303",2014,2,2
"990","104701",2014,2,1
"991","102207",2014,2,1
"992","102402",2014,2,4
"993","103802",2014,2,2
"994","102107",2014,2,2
"995","104801",2014,2,1
"996","101504",2014,2,1
"997","103103",2014,2,3
"998","103004",2014,2,1
"999","103401",2014,2,2
"1000","100301",2014,2,1
"1001","102201",2014,2,1
"1002","104101",2014,2,1
"1003","102004",2014,2,1
"1004","100102",2014,2,1
"1005","103502",2014,2,1
"1006","100502",2014,2,1
"1007","103901",2014,2,1
"1008","104503",2014,2,1
"1009","100803",2014,2,1
"1010","102803",2014,2,1
"1011","104601",2014,2,1
"1012","102501",2014,2,1
"1013","102202",2014,2,1
"1014","101102",2014,2,1
"1015","100206",2014,2,1
"1016","102302",2014,3,3
"1017","100601",2014,3,2
"1018","104101",2014,3,1
"1019","100701",2014,3,1
"1020","102601",2014,3,4
"1021","104203",2014,3,2
"1022","100608",2014,3,1
"1023","103301",2014,3,3
"1024","103103",2014,3,4
"1025","100301",2014,3,2
"1026","104902",2014,3,3
"1027","101503",2014,3,1
"1028","102007",2014,3,4
"1029","104004",2014,3,3
"1030","103902",2014,3,1
"1031","104003",2014,3,1
"1032","103802",2014,3,1
"1033","102303",2014,3,2
"1034","104901",2014,3,6
"1035","101505",2014,3,1
"1036","101701",2014,3,3
"1037","102701",2014,3,3
"1038","102009",2014,3,1
"1039","102901",2014,3,4
"1040","104301",2014,3,1
"1041","104002",2014,3,1
"1042","103401",2014,3,2
"1043","101704",2014,3,2
"1044","104401",2014,3,2
"1045","100703",2014,3,1
"1046","100502",2014,3,2
"1047","101204",2014,3,2
"1048","102803",2014,3,2
"1049","102107",2014,3,2
"1050","103704",2014,3,1
"1051","100508",2014,3,1
"1052","102502",2014,3,1
"1053","100905",2014,3,1
"1054","105001",2014,3,3
"1055","100203",2014,3,1
"1056","104802",2014,3,2
"1057","103701",2014,3,1
"1058","101102",2014,3,1
"1059","103503",2014,3,1
"1060","103102",2014,3,2
