"","Subdistrict_Code","Year","Month","NumberCases"
"625","102302",2014,3,7
"626","101002",2014,3,6
"627","103201",2014,3,5
"628","103202",2014,3,2
"629","101803",2014,3,3
"630","101503",2014,3,3
"631","103203",2014,3,3
"632","103604",2014,3,3
"633","102005",2014,3,10
"634","104902",2014,3,5
"635","102901",2014,3,5
"636","100704",2014,3,1
"637","100502",2014,3,4
"638","100905",2014,3,2
"639","102502",2014,3,3
"640","104603",2014,3,3
"641","101101",2014,3,4
"642","103103",2014,3,7
"643","102107",2014,3,4
"644","103102",2014,3,7
"645","103301",2014,3,3
"646","104401",2014,3,5
"647","100608",2014,3,1
"648","104501",2014,3,2
"649","102207",2014,3,1
"650","100305",2014,3,2
"651","102701",2014,3,6
"652","104802",2014,3,1
"653","100703",2014,3,1
"654","104901",2014,3,1
"655","102007",2014,3,2
"656","103602",2014,3,2
"657","103801",2014,3,3
"658","103702",2014,3,1
"659","104701",2014,3,7
"660","102402",2014,3,3
"661","101802",2014,3,3
"662","103502",2014,3,2
"663","101701",2014,3,1
"664","103902",2014,3,4
"665","101401",2014,3,1
"666","104301",2014,3,1
"667","103001",2014,3,3
"668","101602",2014,3,2
"669","103501",2014,3,1
"670","102303",2014,3,9
"671","101103",2014,3,1
"672","103704",2014,3,1
"673","102206",2014,3,2
"674","101001",2014,3,4
"675","102201",2014,3,3
"676","103703",2014,3,2
"677","100805",2014,3,2
"678","103802",2014,3,1
"679","101504",2014,3,3
"680","104001",2014,3,2
"681","102601",2014,3,8
"682","102801",2014,3,1
"683","100204",2014,3,1
"684","101102",2014,3,1
"685","103903",2014,3,2
"686","101801",2014,3,1
"687","100307",2014,3,1
"688","103003",2014,3,1
"689","101702",2014,3,1
"690","102202",2014,3,2
"691","104002",2014,3,3
"692","101203",2014,3,2
"693","100108",2014,3,1
"694","103401",2014,3,4
"695","103101",2014,3,2
"696","102501",2014,3,2
"697","104203",2014,3,2
"698","100301",2014,3,3
"699","102105",2014,3,1
"700","102803",2014,3,2
"701","103701",2014,3,1
"702","102503",2014,3,1
"703","100508",2014,3,1
"704","102401",2014,3,3
"705","100206",2014,3,1
"706","100107",2014,3,1
"707","102209",2014,3,2
"708","100302",2014,3,1
"709","100304",2014,3,1
"710","104004",2014,3,3
"711","101105",2014,3,1
"712","103004",2014,3,1
"713","100801",2014,3,1
"714","102704",2014,3,1
"715","102004",2014,3,1
"716","101704",2014,3,1
"717","100201",2014,3,3
"718","102601",2014,4,6
"719","103201",2014,4,4
"720","102503",2014,4,2
"721","104203",2014,4,3
"722","100305",2014,4,1
"723","100905",2014,4,3
"724","102007",2014,4,4
"725","100307",2014,4,2
"726","100403",2014,4,1
"727","103501",2014,4,3
"728","100203",2014,4,1
"729","102207",2014,4,1
"730","104301",2014,4,3
"731","104004",2014,4,3
"732","102107",2014,4,5
"733","102202",2014,4,1
"734","102701",2014,4,1
"735","103504",2014,4,4
"736","102303",2014,4,2
"737","100502",2014,4,3
"738","104001",2014,4,2
"739","102302",2014,4,9
"740","102005",2014,4,3
"741","102208",2014,4,1
"742","102504",2014,4,1
"743","104201",2014,4,2
"744","104902",2014,4,3
"745","101101",2014,4,4
"746","101401",2014,4,2
"747","102402",2014,4,1
"748","104701",2014,4,4
"749","101001",2014,4,1
"750","104603",2014,4,1
"751","103902",2014,4,1
"752","101504",2014,4,3
"753","100608",2014,4,3
"754","102210",2014,4,1
"755","101902",2014,4,1
"756","103701",2014,4,1
"757","103005",2014,4,2
"758","102206",2014,4,2
"759","103301",2014,4,4
"760","103001",2014,4,3
"761","102901",2014,4,7
"762","100508",2014,4,2
"763","103903",2014,4,2
"764","100805",2014,4,1
"765","103101",2014,4,2
"766","101802",2014,4,2
"767","103604",2014,4,1
"768","101602",2014,4,1
"769","102801",2014,4,2
"770","100703",2014,4,1
"771","103502",2014,4,1
"772","104401",2014,4,2
"773","103203",2014,4,1
"774","104601",2014,4,1
"775","101904",2014,4,2
"776","103303",2014,4,4
"777","103004",2014,4,1
"778","102705",2014,4,1
"779","103801",2014,4,1
"780","104202",2014,4,1
"781","102004",2014,4,1
"782","103102",2014,4,1
"783","104901",2014,4,1
"784","100704",2014,4,1
"785","102401",2014,4,2
"786","104101",2014,4,1
"787","100107",2014,4,1
