addrcode,date,cases
100702,2017-05-01,1
100702,2017-02-01,1
100702,2017-09-01,1
100702,2017-08-01,3
100702,2017-10-01,1
100703,2014-10-01,5
100703,2014-11-01,2
100703,2014-12-01,1
100703,2014-01-01,1
100703,2014-03-01,1
100703,2014-04-01,1
100703,2014-05-01,1
100703,2014-06-01,1
100703,2014-08-01,1
100703,2014-09-01,2
100703,2015-05-01,5
100703,2015-07-01,3
100703,2015-10-01,11
100703,2015-11-01,22
100703,2015-02-01,3
100703,2015-08-01,7
100703,2015-01-01,2
100703,2015-09-01,8
100703,2015-12-01,8
100703,2015-06-01,1
100703,2016-05-01,1
100703,2016-03-01,2
100703,2016-01-01,1
100703,2017-09-01,2
100703,2017-03-01,1
100703,2017-08-01,3
100703,2017-07-01,1
100703,2017-05-01,1
100703,2017-01-01,1
100703,2017-12-01,1
100703,2018-01-01,2
100703,2018-04-01,2
100704,2014-10-01,1
100704,2014-11-01,1
100704,2014-12-01,1
100704,2014-02-01,1
100704,2014-03-01,1
100704,2014-04-01,1
100704,2014-06-01,1
100704,2014-07-01,1
100704,2014-09-01,1
100704,2015-11-01,16
100704,2015-10-01,9
100704,2015-12-01,14
100704,2015-07-01,3
100704,2015-06-01,4
100704,2015-09-01,10
100704,2015-08-01,11
100704,2015-04-01,2
100704,2015-05-01,2
100704,2015-01-01,2
100704,2015-03-01,3
100704,2016-01-01,5
100704,2016-11-01,2
100704,2016-12-01,1
100704,2016-04-01,1
100704,2016-10-01,1
100704,2016-09-01,1
100704,2016-08-01,1
100704,2017-07-01,4
100704,2017-10-01,1
100704,2017-12-01,3
100704,2017-03-01,1
100704,2017-01-01,1
100704,2017-04-01,2
100704,2017-08-01,1
100704,2017-09-01,2
100704,2017-06-01,2
100704,2017-11-01,3
100704,2018-04-01,5
100704,2018-02-01,5
100704,2018-03-01,3
100704,2018-01-01,1
100801,2014-10-01,3
100801,2014-11-01,2
100801,2014-12-01,2
100801,2014-03-01,1
100801,2014-05-01,1
100801,2014-08-01,3
100801,2015-11-01,28
100801,2015-08-01,3
100801,2015-01-01,7
100801,2015-07-01,2
100801,2015-10-01,11
100801,2015-09-01,6
